candidate,gender,party
Gerry Adams,Male,Sinn Fein
Barbara Ahern,Female,Fianna Fail
Sheikh Mohiuddin Ahmed,Male,Independent
Patrick Akpoveta,Male,Independent
Siobhan Ambrose,Female,Fianna Fail
Chris Andrews,Male,Sinn Fein
Catherine Ardagh,Female,Fianna Fail
Bobby Aylward ,Male,Fianna Fail
Maria Bailey,Female,Fine Gael
James  Bannon,Male,Fine Gael
Tom Barry,Male,Fine Gael
Mick Barry,Male,People Before Profit Alliance
Joe Behan,Male,Independent
Michael Beirne,Male,Independent
Nora Bennis,Female,Catholic Democrats
Lorna  Bogue,Female,Green Party
Joe Bonner,Male,Independent
Kate Bopp,Female,Independent
Richard Boyd-Barrett ,Male,People Before Profit Alliance
Paul  Bradford,Male,Renua
David  Bradley,Male,Independent
Neville Bradley,Male,Direct Democracy Ireland
John Brady,Male,Sinn Fein
John  Brassil,Male,Fianna Fail
Declan  Breathnach,Male,Fianna Fail
Declan Bree,Male,Independent
Pat Breen,Male,Fine Gael
Sharon Briggs,Female,People Before Profit Alliance
Colm Brophy,Male,Fine Gael
Tommy Broughan,Male,Independents 4 Change
James Browne,Male,Fianna Fail
Seamus Browne,Male,Sinn Fein
Richard Bruton,Male,Fine Gael
Pat Buckley,Male,Sinn Fein
Paddy Bullman,Male,Independent
Peter Burke,Male,Fine Gael
Declan  Burke,Male,Independent
Christy Burke,Male,Independent
Joan  Burton,Female,Labour Party
Ray Butler,Male,Fine Gael
Mary Butler,Female,Fianna Fail
Jerry Buttimer,Male,Fine Gael
Malcolm Byrne,Male,Fianna Fail
Aoife Byrne,Female,Fianna Fail
Catherine Byrne,Female,Fine Gael
Eric Byrne,Male,Labour Party
Thomas Byrne,Male,Fianna Fail
Richard  Cahill,Male,Independent
Jackie Cahill,Male,Fianna Fail
Micheal Callaghan,Male,Green Party
Kevin Callan,Male,Independent
Dara Calleary,Male,Fianna Fail
Sean  Canney,Male,Independent
Ross Cannon,Male,Independent
Ciaran Cannon,Male,Fine Gael
Joe  Carey,Male,Fine Gael
Cathleen Carney Boud,Female,Sinn Fein
Ger Carthy,Male,Independent
Pat  Casey,Male,Fianna Fail
Dermot  Casey,Male,Independent
Shane Cassells,Male,Fianna Fail
Marie Casserly ,Female,Independent
Lisa Chambers,Female,Fianna Fail
Jack Chambers,Male,Fianna Fail
James  Charity ,Male,Independent
TJ Clare,Male,Independent
Paul Clarke,Male,Independent
Lorraine  Clifford Lee,Female,Fianna Fail
Emma  Coffey,Female,Fianna Fail
Paudie Coffey,Male,Fine Gael
Alan  Coleman,Male,Independent
Tony  Coleman,Male,Independent
Clare  Colleran Molloy,Female,Fianna Fail
Michael  Collins,Male,Independent
Niall Collins,Male,Fianna Fail
Aine  Collins,Female,Fine Gael
Joan Collins,Female,Independents 4 Change
Sean Conlan,Male,Independent
Paul Connaughton ,Male,Fine Gael
Thomasina Connell,Female,Fine Gael
Catherine Connolly,Female,Independent
John Connolly,Male,Fianna Fail
Anthony Connor,Male,Direct Democracy Ireland
Eddie Conroy,Male,People Before Profit Alliance
Caroline Conroy,Female,Green Party
Ciara Conway,Female,Labour Party
Rose  Conway-Walsh,Female,Sinn Fein
