candidate,gender,constituency,seats,party
Gerry Adams,Male,Louth,5,Sinn Fein
Barbara Ahern,Female,Cork East,4,Fianna Fail
Sheikh Mohiuddin Ahmed,Male,Waterford,4,Independent
Patrick Akpoveta,Male,Dublin Mid-West,4,Independent
Siobhan Ambrose,Female,Tipperary,5,Fianna Fail
Chris Andrews,Male,Dublin Bay South,4,Sinn Fein
Catherine Ardagh,Female,Dublin South-Central,4,Fianna Fail
Bobby Aylward ,Male,Carlow-Kilkenny,5,Fianna Fail
Maria Bailey,Female,Dun Laoghaire,4,Fine Gael
James  Bannon,Male,Longford-Westmeath,4,Fine Gael
Tom Barry,Male,Cork East,4,Fine Gael
Mick Barry,Male,Cork North-Central,4,People Before Profit Alliance
Joe Behan,Male,Wicklow,5,Independent
Michael Beirne,Male,Kildare North,4,Independent
Nora Bennis,Female,Limerick City,4,Catholic Democrats
Lorna  Bogue,Female,Cork South-Central ,4,Green Party
Joe Bonner,Male,Meath East,3,Independent
Kate Bopp,Female,Offaly,3,Independent
Richard Boyd-Barrett ,Male,Dun Laoghaire,4,People Before Profit Alliance
Paul  Bradford,Male,Cork East,4,Renua
David  Bradley,Male,Louth,5,Independent
Neville Bradley,Male,Dublin South-Central,4,Direct Democracy Ireland
John Brady,Male,Wicklow,5,Sinn Fein
John  Brassil,Male,Kerry,5,Fianna Fail
Declan  Breathnach,Male,Louth,5,Fianna Fail
Declan Bree,Male,Sligo-Leitrim,4,Independent
Pat Breen,Male,Clare,4,Fine Gael
Sharon Briggs,Female,Wicklow,5,People Before Profit Alliance
Colm Brophy,Male,Dublin South-West,5,Fine Gael
Tommy Broughan,Male,Dublin Bay North,5,Independents 4 Change
James Browne,Male,Wexford,5,Fianna Fail
Seamus Browne,Male,Limerick County,3,Sinn Fein
Richard Bruton,Male,Dublin Bay North,5,Fine Gael
Pat Buckley,Male,Cork East,4,Sinn Fein
Paddy Bullman,Male,Cork East,4,Independent
Peter Burke,Male,Longford-Westmeath,4,Fine Gael
Declan  Burke,Male,Dublin South-West,5,Independent
Christy Burke,Male,Dublin Central,3,Independent
Joan  Burton,Female,Dublin West,4,Labour Party
Ray Butler,Male,Meath West,3,Fine Gael
Mary Butler,Female,Waterford,4,Fianna Fail
Jerry Buttimer,Male,Cork South-Central ,4,Fine Gael
Malcolm Byrne,Male,Wexford,5,Fianna Fail
Aoife Byrne,Female,Wexford,5,Fianna Fail
Catherine Byrne,Female,Dublin South-Central,4,Fine Gael
Eric Byrne,Male,Dublin South-Central,4,Labour Party
Thomas Byrne,Male,Meath East,3,Fianna Fail
Richard  Cahill,Male,Clare,4,Independent
Jackie Cahill,Male,Tipperary,5,Fianna Fail
Micheal Callaghan,Male,Cavan-Monaghan,4,Green Party
Kevin Callan,Male,Louth,5,Independent
Dara Calleary,Male,Mayo,4,Fianna Fail
Sean  Canney,Male,Galway East,3,Independent
Ross Cannon,Male,Cork East,4,Independent
Ciaran Cannon,Male,Galway East,3,Fine Gael
Joe  Carey,Male,Clare,4,Fine Gael
Cathleen Carney Boud,Female,Dublin North-West,3,Sinn Fein
Ger Carthy,Male,Wexford,5,Independent
Pat  Casey,Male,Wicklow,5,Fianna Fail
Dermot  Casey,Male,Dublin West,4,Independent
Shane Cassells,Male,Meath West,3,Fianna Fail
Marie Casserly ,Female,Sligo-Leitrim,4,Independent
Lisa Chambers,Female,Mayo,4,Fianna Fail
Jack Chambers,Male,Dublin West,4,Fianna Fail
James  Charity ,Male,Galway West,5,Independent
TJ Clare,Male,Dublin West,4,Independent
Paul Clarke,Male,Dublin Bay North,5,Independent
Lorraine  Clifford Lee,Female,Dublin Fingal,5,Fianna Fail
Emma  Coffey,Female,Louth,5,Fianna Fail
Paudie Coffey,Male,Waterford,4,Fine Gael
Alan  Coleman,Male,Cork South-West,3,Independent
Tony  Coleman,Male,Roscommon-Galway,3,Independent
Clare  Colleran Molloy,Female,Clare,4,Fianna Fail
Michael  Collins,Male,Cork South-West,3,Independent
Niall Collins,Male,Limerick County,3,Fianna Fail
Aine  Collins,Female,Cork North-West,3,Fine Gael
Joan Collins,Female,Dublin South-Central,4,Independents 4 Change
Sean Conlan,Male,Cavan-Monaghan,4,Independent
Paul Connaughton ,Male,Galway East,3,Fine Gael
Thomasina Connell,Female,Laois,3,Fine Gael
Catherine Connolly,Female,Galway West,5,Independent
John Connolly,Male,Galway West,5,Fianna Fail
Anthony Connor,Male,Louth,5,Direct Democracy Ireland
Eddie Conroy,Male,Roscommon-Galway,3,People Before Profit Alliance
Caroline Conroy,Female,Dublin North-West,3,Green Party
Ciara Conway,Female,Waterford,4,Labour Party
Rose  Conway-Walsh,Female,Mayo,4,Sinn Fein
Noel Coonan,Male,Tipperary,5,Fine Gael
Donna Cooney,Female,Dublin Bay North,5,Green Party
Ruth Coppinger,Female,Dublin West,4,People Before Profit Alliance
Donal  Corcoran,Male,Kerry,5,Renua
Marcella Corcoran-Kennedy,Female,Offaly,3,Fine Gael
Alexander Cosgrave,Male,Limerick County,3,Green Party
Joe Costello,Male,Dublin Central,3,Labour Party
Simon Coveney ,Male,Cork South-Central ,4,Fine Gael
Barry  Cowen,Male,Offaly,3,Fianna Fail
Jerry Cowley,Male,Mayo,4,Independent
Liam  Coyne,Male,Dublin South-Central,4,Social Democrats
Michael Creed,Male,Cork North-West,3,Fine Gael
Lucinda Creighton ,Female,Dublin Bay South,4,Renua
Frank Cronin,Male,Dun Laoghaire,4,Renua
Reada Cronin,Female,Kildare North,4,Sinn Fein
Avril Cronin,Female,Wicklow,5,Fine Gael
